"period","author","text","femin_iotated","femin_approx","femin_nonexact","masc_closed_nonexact","masc_open_nonexact","masc_closed_open","base_sound"
1836,"Lermontov",,7.4,5.9,0.3,0.1,10.2,,11.5
1834,"Ershov","Koniok-Gorbunok",1.6,9.6,2.4,1.4,5.2,,
1835,"AksakovK",,3.7,11.2,1.6,4.8,18.1,,
1850,"Tolstoi",,11.8,28.1,0.5,0.3,0.6,,18.5
1870,"Shumakher",,0.3,3.9,,,,,15
1842,"Turgenev",,4.1,6.1,0.8,0.4,30,,
1845,"Turgenev","Andrei",,,0.2,,2.8,,
1840,"Polonskii",,1.4,9.1,1,0.6,4.9,,14.5
1890,"Polonskii",,0.5,14,0.7,,4.4,,
1850,"Fet",,1.6,8.1,0.3,0.7,1.2,0.1,17
1880,"Fet",,0.3,4.6,0.1,0.7,2.8,,
1850,"Iakhontov",,4.2,5.5,,,0.9,,18.5
1856,"Rozengeim",,6.9,14.6,3.5,0.3,0.3,0.1,17
1842,"Maikov",,14,16.3,0.7,1,20.8,,
1873,"Maikov",,8.5,15.1,0.5,,6.5,,13.5
1845,"Nekrasov",,0.9,6.4,0.7,,5,,14
1875,"Nekrasov",,0.5,10.3,1.9,0.2,3.2,,
1850,"Zhemchuzhnikov",,5,18.9,0.8,,6.1,,
1890,"Zhemchuzhnikov",,6.6,23.9,0.2,,2.6,,18.5
1850,"Scherbina",,5.9,10.1,0.7,0.4,0.7,,17
1840,"GrigorievA",,5.5,16.9,0.7,0.6,4.8,,14.5
1850,"Mei",,2,6.4,0.2,,1.5,,15
1847,"AksakovI","Brodiaga",1.2,10.2,,,7.8,,22.4
1846,"Zhadovskaia",,11.3,10.7,2.1,,,13.9,
1853,"Nikitin",,7.9,8.3,11.2,2.5,6.4,,15.5
1841,"Plescheev",,5.3,14.5,6.2,,11.5,,17
1870,"Plescheev",,7.7,18.2,2.6,,5.1,,10
1861,"Mikhailov",,5.4,21,0.2,0.7,14.3,,13
1854,"Almazov","poemy",7.9,18.5,1.7,,,,
1860,"Veinberg",,1,4.2,,,,,21
1860,"Kurochkin",,4.8,17.9,0.6,0.4,0.7,,17.5
1880,"Kuskov",,9,19.1,0.7,,1.3,,14
1860,"Minaev",,5.2,21.8,1.7,0.3,1.8,,23
1857,"Dobroliubov",,1.8,21.3,1.3,0.9,9.3,,12.8
1880,"Sluchevskii",,0.3,6.8,,,1.3,,16
1870,"Khitrovo",,2.8,20.5,0.2,,,,20.5
1870,"Barykova",,9.8,29.2,3,,,,
1860,"Krestovskii",,0.6,7.4,0.3,0.5,,,14.5
1870,"Ivanov-Klassik",,1,9.9,0.7,,2.2,,27
1870,"Burenin",,0.3,26.8,0.6,,0.9,,23.5
1870,"KozlovP",,11,18.9,0.2,,15.9,,12.2
1870,"Palmin",,1.2,23.6,0.5,,,,11.5
1872,"Surikov",,6.4,22.3,1.3,0.3,1.4,,14
1881,"Apukhtin",,8.8,10,,,,,
1870,"Trefolev",,0.2,4.2,0.5,,0.7,,70
1870,"Sadovnikov",,1.1,13.7,0.3,,,,16.5
1881,"Drozhzhin",,2.7,11.3,3.7,0.6,3.6,,22.5
1880,"Golenischev-Kutuzov",,6.2,4.3,0.2,,14.9,,13
1883,"Tsertelev",,6.8,18.5,,,2.4,,11.5
1874,"SolovievV",,5,20.2,0.4,,13.5,,23
1890,"SolovievV",,6.6,20.4,0.3,,1.1,,19.5
1881,"Minskii",,11.9,2.3,1.9,0.3,7.4,,27
1909,"Annenskii","Kiparisovii larets",5.8,31.5,0.7,0.3,1.2,,40
1878,"Andreevskii",,0.9,4.2,0.3,,,,20
1880,"KR",,8.3,9.4,1.1,,9.3,,16.6
1890,"Tchiumina",,5.4,17.1,,,1,,15
1890,"IakubovichP",,4.8,10,0.4,,5.6,,11.5
1880,"Frug",,2.8,8.3,0.2,,25.8,,13.5
1880,"Nadson",,1,3.7,0.4,,2.7,,12.5
1880,"Fofanov",,1.8,12.1,1.6,0.3,1,,14
1888,"Ljdov",,,17.1,0.3,0.5,2.4,,28.5
1900,"Sologub",,0.6,12.7,0.7,0.2,,0.2,26
1904,"IvanovV",,1.9,12,0.5,0.3,0.6,,43.5
1899,"Balmont",,0.6,20.5,0.4,,0.3,,29
1914,"Balmont",,4.2,21.2,0.3,,,,18.5
1893,"Korinfskii",,0.6,8.8,,,1.1,,19.5
1889,"Lokhvitskaia",,1.7,12.1,,1,0.9,,20
1889,"Gippius",,8.5,10,0.3,0.3,0.7,,17.6
1895,"Bunin",,3.4,12.9,0.5,,4.4,,29.5
1890,"Porfirov",,2.1,15.4,1.2,,5,,22
1900,"Baltrushaitis",,9,9,0.5,,,,32.5
1898,"Briusov",,15.5,22.9,5.7,0.2,6.5,,15.5
1906,"Briusov",,12.9,23.6,6.3,,2.1,,13.5
1922,"Briusov",,14.9,40.5,34.8,25,4.1,42.6,113
1906,"Kuzmin",,0.7,17.9,1.5,,2.8,,44
1900,"Voloshin",,1,22.3,1.4,,1.4,,23.5
1909,"Rukavishnikov",,1.3,8.3,0.6,,0.2,,35
1907,"Verkhovskii",,0.8,10.7,,,0.5,,41
1905,"Ellis",,8.1,14.5,0.8,,1,,31
1910,"Borodaevskii",,8.4,13.8,5.8,,2.8,,12.5
1898,"Blok",,7.2,20.5,2.5,,1.2,,19
1902,"Blok",,7.4,24.3,7.3,1.4,1.8,,20
1910,"Blok",,9,22.6,5.1,0.4,1.1,0.2,22.5
1904,"Beliy","Pepel",13.3,20,1.2,,10.1,0.1,18
1921,"Beliy","Pervoe svidanie",11,18.4,3.5,0.8,13.9,,35.5
1907,"CherniiS",,6.9,21.7,5.3,0.3,3.6,,23.5
1905,"Sadovskii",,5.4,24.3,1,,,3.2,29
1917,"BedniiD","Pro zemliu",,3.4,,,,,48.5
1914,"KamenskiiV",,2.2,10.9,10.9,2.7,5.4,7.2,72
1904,"GofmanV",,13.8,24.4,0.6,,,,17
1904,"Gorodetskii",,5.6,19.7,2.2,,1.6,,25
1904,"SolovievS",,10.4,29.3,1.1,,0.5,0.1,39
1912,"Khlebnikov","poemy",3.6,28.8,5.1,1.8,7.5,0.1,51
1910,"Livshits",,20.2,26.8,0.4,,,,24.5
1906,"Potemkin",,7.2,20.9,1.9,,4.6,1.8,16
1906,"Lozinskii",,7.9,14.2,1.2,,,,6.6
1908,"Kliuev",,9.8,16.7,6.4,0.3,4.6,,13.5
1918,"Kliuev",,8.4,18.5,6,,1.5,,
1910,"Khodasevitch",,8.3,27,1.2,,0.9,,16.8
1922,"Khodasevitch",,3.2,18.4,0.6,0.6,4.6,,10
1908,"Gumilev",,10.6,21.8,4,1.7,1.3,,18.2
1913,"Oreshin",,6.8,34.6,13.7,0.5,5.2,2,
1920,"Oreshin",,9,41.6,39,6.2,5.8,14,
1917,"Kniazev",,0.8,19.4,0.5,,1.3,,
1907,"Severianin",,2,25.1,4.3,1,4.7,,28.5
1911,"Severianin",,1.6,38.7,26,4.3,11.5,4.6,55
1915,"Severianin",,3.8,25.6,10.7,,10.6,0.8,35
1950,"Marshak",,15.8,33.2,3.8,0.4,,,26.5
1909,"Zenkevich",,15.5,16.3,2,,1,,26
1910,"Akhmatova",,9.9,26.2,8.4,,5.4,3.2,27
1940,"Akhmatova",,7,24.1,7,1.3,4.7,3,27.5
1910,"Klychkov",,12.1,38.9,3.5,0.7,2.9,,
1915,"Gerasimov",,11.4,28.7,20.3,1.8,4.7,11.2,35
1922,"Kirillov",,13.9,17.7,23.3,2.8,0.7,23.5,
1912,"Aseev",,5.3,28.7,22.3,,,,
1915,"Aseev",,7.1,35.9,35.4,13.3,6.9,42.5,
1920,"Aseev",,3.8,36.7,46.5,23.3,4.5,62.5,
1924,"Aseev",,6.5,51.2,43.2,17.8,4.2,61.3,
1927,"Aseev",,5,45,48.2,26,5.8,59.5,44.5
1930,"Aseev",,5,58.3,51.3,26.9,6.5,47.3,
1933,"Aseev",,6,37.6,40.8,16.5,9.3,38.2,
1936,"Aseev","Maiakovskii nachinaetsa",3.3,36.2,35,11.8,5,30.4,
1956,"Aseev","Lad",3.2,33.2,23.4,2.8,1.5,4.5,51
1912,"Pasternak",,17.9,62.2,20.9,4.3,0.1,,18
1914,"Pasternak",,10.6,59.7,55.9,6.8,0.9,12.4,29
1917,"Pasternak","Sestra moia zhizn",5.1,59.8,62,26.4,2.6,65.4,82
1918,"Pasternak",,8.1,59.3,47.4,18.3,5.5,43.6,73.5
1923,"Pasternak","Vysokaia bolezn",10.8,43.4,28.4,13.2,,10.7,
1927,"Pasternak","Leitenant Schmidt",8.9,62.3,52,23.9,6.5,40.2,
1924,"Pasternak","Spektorskii",9,57.7,45.5,12.9,7.4,28.9,
1930,"Pasternak","Vtoroie rozhednie",12.3,67.1,43,13.8,,10.7,51
1934,"Pasternak","Gruzinskie liriki",12.6,63.6,30.8,4.5,3.8,2.5,37
1935,"Pasternak",,17.8,57.7,18.2,1.9,,,23.5
1956,"Pasternak",,15.8,55.5,9,,,,12.5
1924,"Inber",,8.5,43.5,34.9,3.1,9.2,11.2,41.5
1941,"Inber",,7.7,40.8,42.4,5.3,1.2,,15.5
1908,"Mandelshtam",,12.3,19.4,2.5,0.3,1.3,,28
1935,"Mandelshtam",,10.5,29.6,19,5.3,6.1,18.8,17
1913,"Ivnev",,11.5,34,32.5,2,3.4,25.3,
1913,"Bolshakov",,17.2,44.6,37,3.3,4.4,11.8,60.7
1914,"Tretiakov",,4.8,33.5,35.8,21.8,,51.2,16.5
1920,"Radlova",,9.3,29.1,23.8,4.1,10.8,,
1918,"Erenburg","dramy",2.8,41,75.5,21.2,11.8,28.7,
1921,"Erenburg",,4.1,56.3,67.6,25.9,3.8,34,
1938,"Erenburg",,4.7,29.8,55.8,0.6,3.6,1.8,
1910,"Tsvetaeva",,11,28,2.9,4.9,2.5,,32.5
1917,"Tsvetaeva",,19.2,78.2,27.1,4.9,16,,23
1919,"Tsvetaeva","dramy",11,55.8,31.5,5.4,7.3,0.7,
1920,"Tsvetaeva","Tsar-devica",13,41,38.3,9.8,16,,43
1922,"Tsvetaeva","Molodec",4.5,48.5,66.7,21.4,36.1,1.4,
1924,"Tsvetaeva","Ariadna",9.3,45.8,61.4,19.9,24,,26.5
1927,"Tsvetaeva","Fedra",5,42.5,64.5,13.4,49.5,1,
1931,"Tsvetaeva",,9.2,50.5,43.9,8.7,32.9,,
1911,"Shershenevich",,5,32.8,0.9,,3.4,,25.5
1913,"Shershenevich",,7,41.3,37.6,1.7,5.7,26.3,24.5
1912,"Maiakovskii",,2.4,27.5,10.2,4,4,4,52.6
1914,"Maiakovskii","poemy",6.4,33.9,38.1,12.7,12.3,65.2,54
1916,"Maiakovskii","poemy I dramy",9.9,43.7,42.2,17,4.3,74.8,106.5
1920,"Maiakovskii","poemy I dramy",6.6,40.5,32.6,7.5,5.5,57.2,
1923,"Maiakovskii","Pro eto",7.4,48.1,47.8,15.5,4.8,65.5,84.5
1923,"Maiakovskii","Maiakovskaia galereia",10.1,32.1,28.4,11.4,6.5,54.8,
1924,"Maiakovskii","Lenin",10,38.1,49.4,22.3,6.7,63.3,
1925,"Maiakovskii","Letaiuschii proletarii",11.5,22.7,40.5,4.3,14.9,71.6,
1925,"Maiakovskii","amerkianskie stikhi",6.3,30.5,57.2,25.1,9.9,55,87
1927,"Maiakovskii","Khorosho",8.7,39.1,65,23.7,15.3,62,103.5
1928,"Maiakovskii",,12.5,37.5,43.4,18.5,7.8,47.9,85.8
1913,"IvanovG",,4.7,14.5,12.4,,,0.8,34.5
1922,"Rozhdestvenskii",,6.6,22.5,2.5,,,25,16.5
